Iteration 133, Abs net weight: 0.046531591564416885
Iteration 134, Abs net weight: 0.046582017093896866
Iteration 135, Abs net weight: 0.04663567245006561
Iteration 136, Abs net weight: 0.04668587073683739
Iteration 137, Abs net weight: 0.04674626141786575
Iteration 138, Abs net weight: 0.04679616168141365
Iteration 139, Abs net weight: 0.04685156047344208
Iteration 140, Abs net weight: 0.04690702259540558
Iteration 141, Abs net weight: 0.046972569078207016
Iteration 142, Abs net weight: 0.047030624002218246
Iteration 143, Abs net weight: 0.04708492383360863
Iteration 144, Abs net weight: 0.04714484140276909
Iteration 145, Abs net weight: 0.04723351076245308
Iteration 146, Abs net weight: 0.04729698225855827
Iteration 147, Abs net weight: 0.047367796301841736
Iteration 148, Abs net weight: 0.04744812846183777
Iteration 149, Abs net weight: 0.047513775527477264
Iteration 150, Abs net weight: 0.047571685165166855
Iteration 151, Abs net weight: 0.04764167219400406
Iteration 152, Abs net weight: 0.047710347920656204
Iteration 153, Abs net weight: 0.04775474965572357
Iteration 154, Abs net weight: 0.04782161861658096
Iteration 155, Abs net weight: 0.04787909612059593
Iteration 156, Abs net weight: 0.0479443222284317
Iteration 157, Abs net weight: 0.04801201820373535
Iteration 158, Abs net weight: 0.04808308556675911
Iteration 159, Abs net weight: 0.0481676310300827
Iteration 160, Abs net weight: 0.0482373908162117
Iteration 161, Abs net weight: 0.04831238090991974
Iteration 162, Abs net weight: 0.04839164391160011
Iteration 163, Abs net weight: 0.04845158010721207
Iteration 164, Abs net weight: 0.04853200539946556
Iteration 165, Abs net weight: 0.04858887195587158
Iteration 166, Abs net weight: 0.048663366585969925
Iteration 167, Abs net weight: 0.04875969514250755
Iteration 168, Abs net weight: 0.04883914813399315
Iteration 169, Abs net weight: 0.048916615545749664
Iteration 170, Abs net weight: 0.0490059033036232
Iteration 171, Abs net weight: 0.049063075333833694
Iteration 172, Abs net weight: 0.04913608729839325
Iteration 173, Abs net weight: 0.04920976981520653
Iteration 174, Abs net weight: 0.04927020147442818
Iteration 175, Abs net weight: 0.04933534190058708
Iteration 176, Abs net weight: 0.049428049474954605
Iteration 177, Abs net weight: 0.049516286700963974
Iteration 178, Abs net weight: 0.049593735486269
Iteration 179, Abs net weight: 0.04965723678469658
Iteration 180, Abs net weight: 0.04972853511571884
Iteration 181, Abs net weight: 0.04979262501001358
Iteration 182, Abs net weight: 0.04986390471458435
Iteration 183, Abs net weight: 0.049913451075553894
Iteration 184, Abs net weight: 0.049973517656326294
Iteration 185, Abs net weight: 0.05003846809267998
Iteration 186, Abs net weight: 0.0500871017575264
Iteration 187, Abs net weight: 0.05014529079198837
Iteration 188, Abs net weight: 0.05020790919661522
Iteration 189, Abs net weight: 0.0502803809940815
Iteration 190, Abs net weight: 0.05036327242851257
Iteration 191, Abs net weight: 0.050415486097335815
Iteration 192, Abs net weight: 0.05049978941679001
Iteration 193, Abs net weight: 0.05069439113140106
Iteration 194, Abs net weight: 0.050844334065914154
Iteration 195, Abs net weight: 0.05092429742217064
Iteration 196, Abs net weight: 0.05098046362400055
Iteration 197, Abs net weight: 0.05106924846768379
Iteration 198, Abs net weight: 0.051136087626218796
Iteration 199, Abs net weight: 0.0512036569416523
Iteration 200, Abs net weight: 0.05126821622252464
Iteration 201, Abs net weight: 0.051334161311388016
Iteration 202, Abs net weight: 0.051395710557699203
Iteration 203, Abs net weight: 0.05146290734410286
Iteration 204, Abs net weight: 0.05152285844087601
Iteration 205, Abs net weight: 0.051580652594566345
Iteration 206, Abs net weight: 0.05162183567881584
Iteration 207, Abs net weight: 0.051667843014001846
Iteration 208, Abs net weight: 0.05173858255147934
Iteration 209, Abs net weight: 0.05182654783129692
Iteration 210, Abs net weight: 0.05189930647611618
Iteration 211, Abs net weight: 0.05196000635623932
Iteration 212, Abs net weight: 0.05203796923160553
Iteration 213, Abs net weight: 0.052099790424108505
Iteration 214, Abs net weight: 0.05217335373163223
Iteration 215, Abs net weight: 0.05224281921982765
Iteration 216, Abs net weight: 0.05231839418411255
Iteration 217, Abs net weight: 0.05238305404782295
Iteration 218, Abs net weight: 0.052448369562625885
Iteration 219, Abs net weight: 0.05253344401717186
Iteration 220, Abs net weight: 0.052588798105716705
Iteration 221, Abs net weight: 0.05264592915773392
Iteration 222, Abs net weight: 0.05270278453826904
Iteration 223, Abs net weight: 0.05275848135352135
Iteration 224, Abs net weight: 0.05282194912433624
Iteration 225, Abs net weight: 0.052869636565446854
Iteration 226, Abs net weight: 0.052930157631635666
Iteration 227, Abs net weight: 0.05298120528459549
Iteration 228, Abs net weight: 0.05303915962576866
Iteration 229, Abs net weight: 0.053099095821380615
Iteration 230, Abs net weight: 0.0531449094414711
Iteration 231, Abs net weight: 0.053205329924821854
Iteration 232, Abs net weight: 0.053259070962667465
Iteration 233, Abs net weight: 0.053301017731428146
Iteration 234, Abs net weight: 0.053355153650045395
Iteration 235, Abs net weight: 0.053407736122608185
Iteration 236, Abs net weight: 0.05346463620662689
Iteration 237, Abs net weight: 0.05352266877889633
Iteration 238, Abs net weight: 0.053585704416036606
Iteration 239, Abs net weight: 0.05365893989801407
Iteration 240, Abs net weight: 0.053718119859695435
Iteration 241, Abs net weight: 0.05378087982535362
Iteration 242, Abs net weight: 0.053856100887060165
Iteration 243, Abs net weight: 0.05393247678875923
Iteration 244, Abs net weight: 0.054018907248973846
Iteration 245, Abs net weight: 0.0541142039000988
Iteration 246, Abs net weight: 0.054184794425964355
Iteration 247, Abs net weight: 0.054257266223430634
Iteration 248, Abs net weight: 0.0543394461274147
Iteration 249, Abs net weight: 0.05440954864025116
Iteration 250, Abs net weight: 0.054461199790239334
Iteration 251, Abs net weight: 0.054531268775463104
Iteration 252, Abs net weight: 0.054591018706560135
Iteration 253, Abs net weight: 0.05464281514286995
Iteration 254, Abs net weight: 0.05469292774796486
Iteration 255, Abs net weight: 0.05475478991866112
Iteration 256, Abs net weight: 0.05482582747936249
Iteration 257, Abs net weight: 0.054896220564842224
Iteration 258, Abs net weight: 0.054960381239652634
Iteration 259, Abs net weight: 0.0550314262509346
Iteration 260, Abs net weight: 0.05510936677455902
Iteration 261, Abs net weight: 0.055177878588438034
Iteration 262, Abs net weight: 0.05522878095507622
Iteration 263, Abs net weight: 0.0552750825881958
Iteration 264, Abs net weight: 0.055330369621515274
Iteration 265, Abs net weight: 0.0553874708712101
Iteration 266, Abs net weight: 0.055471956729888916
Iteration 267, Abs net weight: 0.05553874745965004
Iteration 268, Abs net weight: 0.055614784359931946
Iteration 269, Abs net weight: 0.05567427724599838
Iteration 270, Abs net weight: 0.055719636380672455
Iteration 271, Abs net weight: 0.055778149515390396
Iteration 272, Abs net weight: 0.05584818124771118
Iteration 273, Abs net weight: 0.05590739846229553
Iteration 274, Abs net weight: 0.05596829578280449
Iteration 275, Abs net weight: 0.05600958690047264
Iteration 276, Abs net weight: 0.05608055740594864
Iteration 277, Abs net weight: 0.05614560842514038
Iteration 278, Abs net weight: 0.05618615448474884
Iteration 279, Abs net weight: 0.05624018982052803
Iteration 280, Abs net weight: 0.05629748851060867
Iteration 281, Abs net weight: 0.0563894547522068
Iteration 282, Abs net weight: 0.05647050216794014
Iteration 283, Abs net weight: 0.056556738913059235
Iteration 284, Abs net weight: 0.05663096159696579
Iteration 285, Abs net weight: 0.05669352784752846
Iteration 286, Abs net weight: 0.056748006492853165
Iteration 287, Abs net weight: 0.05681436508893967
Iteration 288, Abs net weight: 0.0568646602332592
Iteration 289, Abs net weight: 0.05693789944052696
Iteration 290, Abs net weight: 0.05700719356536865
Iteration 291, Abs net weight: 0.05707356333732605
Iteration 292, Abs net weight: 0.05714184790849686
Iteration 293, Abs net weight: 0.05719512701034546
Iteration 294, Abs net weight: 0.057252977043390274
Iteration 295, Abs net weight: 0.05731809511780739
Iteration 296, Abs net weight: 0.05738277733325958
Iteration 297, Abs net weight: 0.05745468661189079
Iteration 298, Abs net weight: 0.05752675235271454
Iteration 299, Abs net weight: 0.05759846791625023
Iteration 300, Abs net weight: 0.057661496102809906
Iteration 301, Abs net weight: 0.05788701772689819
Iteration 302, Abs net weight: 0.058104485273361206
Iteration 303, Abs net weight: 0.05827558785676956
Iteration 304, Abs net weight: 0.058354467153549194
Iteration 305, Abs net weight: 0.05843152478337288
Iteration 306, Abs net weight: 0.058507051318883896
Iteration 307, Abs net weight: 0.0586213618516922
Iteration 308, Abs net weight: 0.05870106443762779
Iteration 309, Abs net weight: 0.05881459265947342
Iteration 310, Abs net weight: 0.05891243740916252
Iteration 311, Abs net weight: 0.058990709483623505
Iteration 312, Abs net weight: 0.05907363444566727
Iteration 313, Abs net weight: 0.05918256938457489
Iteration 314, Abs net weight: 0.05930466949939728
Iteration 315, Abs net weight: 0.05939313769340515
Iteration 316, Abs net weight: 0.059475723654031754
Iteration 317, Abs net weight: 0.059579040855169296
Iteration 318, Abs net weight: 0.05965638533234596
Iteration 319, Abs net weight: 0.059727538377046585
Iteration 320, Abs net weight: 0.05982374772429466
Iteration 321, Abs net weight: 0.05988087132573128
Iteration 322, Abs net weight: 0.05996831879019737
Iteration 323, Abs net weight: 0.06004253774881363
Iteration 324, Abs net weight: 0.06014877185225487
Iteration 325, Abs net weight: 0.060239557176828384
Iteration 326, Abs net weight: 0.06032590568065643
Iteration 327, Abs net weight: 0.060389623045921326
Iteration 328, Abs net weight: 0.06044481694698334
Iteration 329, Abs net weight: 0.060505446046590805
Iteration 330, Abs net weight: 0.06057335436344147
Iteration 331, Abs net weight: 0.06064479798078537
Iteration 332, Abs net weight: 0.060702428221702576
Iteration 333, Abs net weight: 0.06076769530773163
Iteration 334, Abs net weight: 0.060841094702482224
Iteration 335, Abs net weight: 0.060893137007951736
Iteration 336, Abs net weight: 0.06107969582080841
Iteration 337, Abs net weight: 0.06139793246984482
