Iteration 583, Abs net weight: 0.0793597549200058
Iteration 584, Abs net weight: 0.07942573726177216
Iteration 585, Abs net weight: 0.07949373126029968
Iteration 586, Abs net weight: 0.07953072339296341
Iteration 587, Abs net weight: 0.07959016412496567
Iteration 588, Abs net weight: 0.07965461164712906
Iteration 589, Abs net weight: 0.07971329987049103
Iteration 590, Abs net weight: 0.07977045327425003
Iteration 591, Abs net weight: 0.0798339769244194
Iteration 592, Abs net weight: 0.07990198582410812
Iteration 593, Abs net weight: 0.07994549721479416
Iteration 594, Abs net weight: 0.08001543581485748
Iteration 595, Abs net weight: 0.08007658272981644
Iteration 596, Abs net weight: 0.08015269786119461
Iteration 597, Abs net weight: 0.08020824939012527
Iteration 598, Abs net weight: 0.08028432726860046
Iteration 599, Abs net weight: 0.08034151047468185
Iteration 600, Abs net weight: 0.08038171380758286
Iteration 601, Abs net weight: 0.080442413687706
Iteration 602, Abs net weight: 0.08050215989351273
Iteration 603, Abs net weight: 0.08058511465787888
Iteration 604, Abs net weight: 0.08064590394496918
Iteration 605, Abs net weight: 0.08072642236948013
Iteration 606, Abs net weight: 0.08078338205814362
Iteration 607, Abs net weight: 0.08085272461175919
Iteration 608, Abs net weight: 0.08094336092472076
Iteration 609, Abs net weight: 0.08101040124893188
Iteration 610, Abs net weight: 0.08107709884643555
Iteration 611, Abs net weight: 0.08113998919725418
Iteration 612, Abs net weight: 0.08120302855968475
Iteration 613, Abs net weight: 0.08128652721643448
Iteration 614, Abs net weight: 0.08137169480323792
Iteration 615, Abs net weight: 0.08145363628864288
Iteration 616, Abs net weight: 0.08154219388961792
Iteration 617, Abs net weight: 0.08161567896604538
Iteration 618, Abs net weight: 0.08167841285467148
Iteration 619, Abs net weight: 0.08172649890184402
Iteration 620, Abs net weight: 0.08177890628576279
Iteration 621, Abs net weight: 0.08185068517923355
Iteration 622, Abs net weight: 0.08190871775150299
Iteration 623, Abs net weight: 0.08198191970586777
Iteration 624, Abs net weight: 0.08207297325134277
Iteration 625, Abs net weight: 0.08213959634304047
Iteration 626, Abs net weight: 0.08221250772476196
Iteration 627, Abs net weight: 0.08229991048574448
Iteration 628, Abs net weight: 0.0823870375752449
Iteration 629, Abs net weight: 0.08246151357889175
Iteration 630, Abs net weight: 0.08254310488700867
Iteration 631, Abs net weight: 0.0826360434293747
Iteration 632, Abs net weight: 0.08269982784986496
Iteration 633, Abs net weight: 0.08275388181209564
Iteration 634, Abs net weight: 0.08284363895654678
Iteration 635, Abs net weight: 0.08292511105537415
Iteration 636, Abs net weight: 0.0829939991235733
Iteration 637, Abs net weight: 0.0830620601773262
Iteration 638, Abs net weight: 0.0831424742937088
Iteration 639, Abs net weight: 0.08319833874702454
Iteration 640, Abs net weight: 0.0832594558596611
Iteration 641, Abs net weight: 0.08331223577260971
Iteration 642, Abs net weight: 0.08336780965328217
Iteration 643, Abs net weight: 0.08344442397356033
Iteration 644, Abs net weight: 0.08350428938865662
Iteration 645, Abs net weight: 0.08357078582048416
Iteration 646, Abs net weight: 0.08363520354032516
Iteration 647, Abs net weight: 0.08371429145336151
Iteration 648, Abs net weight: 0.08378809690475464
Iteration 649, Abs net weight: 0.08385996520519257
Iteration 650, Abs net weight: 0.08395344018936157
Iteration 651, Abs net weight: 0.08401180803775787
Iteration 652, Abs net weight: 0.08406256139278412
Iteration 653, Abs net weight: 0.0841209664940834
Iteration 654, Abs net weight: 0.0841917023062706
Iteration 655, Abs net weight: 0.08424998074769974
Iteration 656, Abs net weight: 0.08432237803936005
Iteration 657, Abs net weight: 0.084410160779953
Iteration 658, Abs net weight: 0.0844707041978836
Iteration 659, Abs net weight: 0.0845213457942009
Iteration 660, Abs net weight: 0.08461986482143402
Iteration 661, Abs net weight: 0.0847027450799942
Iteration 662, Abs net weight: 0.08480384945869446
Iteration 663, Abs net weight: 0.08489827811717987
Iteration 664, Abs net weight: 0.08500008285045624
Iteration 665, Abs net weight: 0.08507136255502701
Iteration 666, Abs net weight: 0.08514956384897232
Iteration 667, Abs net weight: 0.08525950461626053
Iteration 668, Abs net weight: 0.08536968380212784
Iteration 669, Abs net weight: 0.08546636998653412
Iteration 670, Abs net weight: 0.08556738495826721
Iteration 671, Abs net weight: 0.08562901616096497
Iteration 672, Abs net weight: 0.08569981902837753
Iteration 673, Abs net weight: 0.08578817546367645
Iteration 674, Abs net weight: 0.08586161583662033
Iteration 675, Abs net weight: 0.08593317121267319
Iteration 676, Abs net weight: 0.08598791062831879
Iteration 677, Abs net weight: 0.08608416467905045
Iteration 678, Abs net weight: 0.08616647869348526
Iteration 679, Abs net weight: 0.08624052256345749
Iteration 680, Abs net weight: 0.08631137013435364
Iteration 681, Abs net weight: 0.0863603726029396
Iteration 682, Abs net weight: 0.08645133674144745
Iteration 683, Abs net weight: 0.08652655780315399
Iteration 684, Abs net weight: 0.0865790918469429
Iteration 685, Abs net weight: 0.08663548529148102
Iteration 686, Abs net weight: 0.08669986575841904
Iteration 687, Abs net weight: 0.08676286786794662
Iteration 688, Abs net weight: 0.08682993799448013
Iteration 689, Abs net weight: 0.08690151572227478
Iteration 690, Abs net weight: 0.08710677921772003
Iteration 691, Abs net weight: 0.08740003407001495
Iteration 692, Abs net weight: 0.08754965662956238
Iteration 693, Abs net weight: 0.08763888478279114
Iteration 694, Abs net weight: 0.08770738542079926
Iteration 695, Abs net weight: 0.08779803663492203
Iteration 696, Abs net weight: 0.08789470046758652
Iteration 697, Abs net weight: 0.08797945827245712
Iteration 698, Abs net weight: 0.08805980533361435
Iteration 699, Abs net weight: 0.0881633460521698
Iteration 700, Abs net weight: 0.08824954926967621
Iteration 701, Abs net weight: 0.08832525461912155
Iteration 702, Abs net weight: 0.08841528743505478
Iteration 703, Abs net weight: 0.08850519359111786
Iteration 704, Abs net weight: 0.08860799670219421
Iteration 705, Abs net weight: 0.0887058824300766
Iteration 706, Abs net weight: 0.0887814313173294
Iteration 707, Abs net weight: 0.08887100219726562
Iteration 708, Abs net weight: 0.08897361904382706
Iteration 709, Abs net weight: 0.08905133605003357
Iteration 710, Abs net weight: 0.08916375786066055
Iteration 711, Abs net weight: 0.08925691246986389
Iteration 712, Abs net weight: 0.08933212608098984
Iteration 713, Abs net weight: 0.08938287198543549
Iteration 714, Abs net weight: 0.08945129066705704
Iteration 715, Abs net weight: 0.08952336013317108
Iteration 716, Abs net weight: 0.08961383998394012
Iteration 717, Abs net weight: 0.08969663828611374
Iteration 718, Abs net weight: 0.08978640288114548
Iteration 719, Abs net weight: 0.08986958861351013
Iteration 720, Abs net weight: 0.08992260694503784
Iteration 721, Abs net weight: 0.08997809886932373
Iteration 722, Abs net weight: 0.0900304764509201
Iteration 723, Abs net weight: 0.09009645879268646
Iteration 724, Abs net weight: 0.09015564620494843
Iteration 725, Abs net weight: 0.09019745141267776
Iteration 726, Abs net weight: 0.0902668833732605
Iteration 727, Abs net weight: 0.09032408893108368
Iteration 728, Abs net weight: 0.09039101749658585
Iteration 729, Abs net weight: 0.09046207368373871
Iteration 730, Abs net weight: 0.09052900224924088
Iteration 731, Abs net weight: 0.09061166644096375
Iteration 732, Abs net weight: 0.09067697077989578
Iteration 733, Abs net weight: 0.09075560420751572
Iteration 734, Abs net weight: 0.09083376824855804
Iteration 735, Abs net weight: 0.0909133106470108
Iteration 736, Abs net weight: 0.09098586440086365
Iteration 737, Abs net weight: 0.09106764942407608
Iteration 738, Abs net weight: 0.09115096181631088
Iteration 739, Abs net weight: 0.09121228754520416
Iteration 740, Abs net weight: 0.091274693608284
Iteration 741, Abs net weight: 0.09133410453796387
Iteration 742, Abs net weight: 0.09140279144048691
Iteration 743, Abs net weight: 0.09147754311561584
Iteration 744, Abs net weight: 0.09154310077428818
Iteration 745, Abs net weight: 0.09160812199115753
Iteration 746, Abs net weight: 0.09167823940515518
Iteration 747, Abs net weight: 0.09174586832523346
Iteration 748, Abs net weight: 0.0918135792016983
Iteration 749, Abs net weight: 0.0918896496295929
Iteration 750, Abs net weight: 0.09197824448347092
Iteration 751, Abs net weight: 0.0920419991016388
Iteration 752, Abs net weight: 0.09211865067481995
Iteration 753, Abs net weight: 0.09217709302902222
Iteration 754, Abs net weight: 0.0922517403960228
Iteration 755, Abs net weight: 0.09231226146221161
Iteration 756, Abs net weight: 0.09238100796937943
Iteration 757, Abs net weight: 0.09242487698793411
Iteration 758, Abs net weight: 0.0925002172589302
Iteration 759, Abs net weight: 0.09259317070245743
Iteration 760, Abs net weight: 0.0926736518740654
Iteration 761, Abs net weight: 0.0927351862192154
Iteration 762, Abs net weight: 0.09280969947576523
Iteration 763, Abs net weight: 0.09288111329078674
Iteration 764, Abs net weight: 0.09295327216386795
Iteration 765, Abs net weight: 0.09302274137735367
Iteration 766, Abs net weight: 0.09308501332998276
Iteration 767, Abs net weight: 0.09314730763435364
Iteration 768, Abs net weight: 0.09320664405822754
Iteration 769, Abs net weight: 0.09326958656311035
Iteration 770, Abs net weight: 0.09334257245063782
Iteration 771, Abs net weight: 0.09341071546077728
Iteration 772, Abs net weight: 0.09346365183591843
Iteration 773, Abs net weight: 0.09354906529188156
Iteration 774, Abs net weight: 0.09364374727010727
Iteration 775, Abs net weight: 0.09369329363107681
Iteration 776, Abs net weight: 0.09375111013650894
Iteration 777, Abs net weight: 0.09382648020982742
Iteration 778, Abs net weight: 0.09388762712478638
Iteration 779, Abs net weight: 0.09395269304513931
Iteration 780, Abs net weight: 0.09401445835828781
Iteration 781, Abs net weight: 0.09408365190029144
Iteration 782, Abs net weight: 0.09414109587669373
Iteration 783, Abs net weight: 0.09420272707939148
Iteration 784, Abs net weight: 0.0943012535572052
Iteration 785, Abs net weight: 0.09437447786331177
Iteration 786, Abs net weight: 0.09444105625152588
Iteration 787, Abs net weight: 0.09449441730976105
Iteration 788, Abs net weight: 0.09457949548959732
Iteration 789, Abs net weight: 0.09466392546892166
Iteration 790, Abs net weight: 0.09472586959600449
Iteration 791, Abs net weight: 0.09481596201658249
Iteration 792, Abs net weight: 0.09489933401346207
Iteration 793, Abs net weight: 0.0949755609035492
Iteration 794, Abs net weight: 0.09504932910203934
Iteration 795, Abs net weight: 0.09511982649564743
Iteration 796, Abs net weight: 0.09519440680742264
Iteration 797, Abs net weight: 0.09529006481170654
Iteration 798, Abs net weight: 0.09535393118858337
Iteration 799, Abs net weight: 0.09544358402490616
Iteration 800, Abs net weight: 0.09551241993904114
Iteration 801, Abs net weight: 0.0955980196595192
Iteration 802, Abs net weight: 0.09567134082317352
Iteration 803, Abs net weight: 0.09575772285461426
Iteration 804, Abs net weight: 0.09584923088550568
Iteration 805, Abs net weight: 0.09592746198177338
Iteration 806, Abs net weight: 0.09600353986024857
Iteration 807, Abs net weight: 0.09607755392789841
Iteration 808, Abs net weight: 0.09616060554981232
Iteration 809, Abs net weight: 0.09624488651752472
Iteration 810, Abs net weight: 0.09629619866609573
Iteration 811, Abs net weight: 0.09636133909225464
Iteration 812, Abs net weight: 0.09642203152179718
Iteration 813, Abs net weight: 0.09649055451154709
Iteration 814, Abs net weight: 0.09657839685678482
Iteration 815, Abs net weight: 0.09664231538772583
Iteration 816, Abs net weight: 0.09669855237007141
Iteration 817, Abs net weight: 0.09677837789058685
Iteration 818, Abs net weight: 0.09689263254404068
Iteration 819, Abs net weight: 0.09695703536272049
Iteration 820, Abs net weight: 0.09702429920434952
Iteration 821, Abs net weight: 0.09709509462118149
Iteration 822, Abs net weight: 0.09717115014791489
Iteration 823, Abs net weight: 0.0972462147474289
Iteration 824, Abs net weight: 0.09732785820960999
Iteration 825, Abs net weight: 0.09738295525312424
Iteration 826, Abs net weight: 0.09744993597269058
Iteration 827, Abs net weight: 0.09752976894378662
Iteration 828, Abs net weight: 0.09763359278440475
Iteration 829, Abs net weight: 0.09772586077451706
Iteration 830, Abs net weight: 0.09780650585889816
Iteration 831, Abs net weight: 0.09789307415485382
Iteration 832, Abs net weight: 0.09797102957963943
Iteration 833, Abs net weight: 0.09805343300104141
Iteration 834, Abs net weight: 0.09812954813241959
Iteration 835, Abs net weight: 0.09821271896362305
Iteration 836, Abs net weight: 0.09830286353826523
Iteration 837, Abs net weight: 0.09839879721403122
Iteration 838, Abs net weight: 0.09850795567035675
Iteration 839, Abs net weight: 0.09856826812028885
Iteration 840, Abs net weight: 0.09865323454141617
Iteration 841, Abs net weight: 0.09873154014348984
Iteration 842, Abs net weight: 0.09880337864160538
Iteration 843, Abs net weight: 0.09888274222612381
Iteration 844, Abs net weight: 0.09894076734781265
Iteration 845, Abs net weight: 0.0990215465426445
Iteration 846, Abs net weight: 0.09909811615943909
Iteration 847, Abs net weight: 0.09913743287324905
Iteration 848, Abs net weight: 0.09921421110630035
Iteration 849, Abs net weight: 0.09930519759654999
Iteration 850, Abs net weight: 0.09940218180418015
Iteration 851, Abs net weight: 0.09947545826435089
Iteration 852, Abs net weight: 0.09954377263784409
Iteration 853, Abs net weight: 0.0996074378490448
Iteration 854, Abs net weight: 0.09966715425252914
Iteration 855, Abs net weight: 0.099745012819767
Iteration 856, Abs net weight: 0.09980852156877518
Iteration 857, Abs net weight: 0.09987985342741013
Iteration 858, Abs net weight: 0.09994383156299591
Iteration 859, Abs net weight: 0.10003255307674408
Iteration 860, Abs net weight: 0.10008551925420761
Iteration 861, Abs net weight: 0.1001603901386261
Iteration 862, Abs net weight: 0.10023980587720871
Iteration 863, Abs net weight: 0.10029835253953934
Iteration 864, Abs net weight: 0.1003643050789833
Iteration 865, Abs net weight: 0.10043688863515854
Iteration 866, Abs net weight: 0.10051484405994415
Iteration 867, Abs net weight: 0.1005881056189537
Iteration 868, Abs net weight: 0.1006784662604332
Iteration 869, Abs net weight: 0.10075688362121582
Iteration 870, Abs net weight: 0.10083997249603271
Iteration 871, Abs net weight: 0.1009274274110794
Iteration 872, Abs net weight: 0.10100991278886795
Iteration 873, Abs net weight: 0.10107003152370453
Iteration 874, Abs net weight: 0.10116848349571228
Iteration 875, Abs net weight: 0.10124818980693817
Iteration 876, Abs net weight: 0.1013176292181015
Iteration 877, Abs net weight: 0.10139092057943344
Iteration 878, Abs net weight: 0.10147020220756531
Iteration 879, Abs net weight: 0.1015419140458107
Iteration 880, Abs net weight: 0.10160544514656067
Iteration 881, Abs net weight: 0.10168150812387466
Iteration 882, Abs net weight: 0.10177002847194672
Iteration 883, Abs net weight: 0.10183168202638626
Iteration 884, Abs net weight: 0.10191111266613007
Iteration 885, Abs net weight: 0.10198086500167847
Iteration 886, Abs net weight: 0.1020410880446434
Iteration 887, Abs net weight: 0.10209156572818756
Iteration 888, Abs net weight: 0.10215216130018234
Iteration 889, Abs net weight: 0.10226499289274216
Iteration 890, Abs net weight: 0.10233932733535767
Iteration 891, Abs net weight: 0.10241701453924179
Iteration 892, Abs net weight: 0.10248259454965591
Iteration 893, Abs net weight: 0.10254828631877899
Iteration 894, Abs net weight: 0.10260064899921417
Iteration 895, Abs net weight: 0.10267072916030884
Iteration 896, Abs net weight: 0.10273323208093643
Iteration 897, Abs net weight: 0.10279598832130432
Iteration 898, Abs net weight: 0.10284165292978287
Iteration 899, Abs net weight: 0.10291283577680588
Iteration 900, Abs net weight: 0.10299628227949142
Iteration 901, Abs net weight: 0.10305239260196686
Iteration 902, Abs net weight: 0.10310766100883484
Iteration 903, Abs net weight: 0.10317135602235794
Iteration 904, Abs net weight: 0.10322453826665878
Iteration 905, Abs net weight: 0.10328558832406998
Iteration 906, Abs net weight: 0.10336817055940628
Iteration 907, Abs net weight: 0.10342539101839066
Iteration 908, Abs net weight: 0.10350651293992996
Iteration 909, Abs net weight: 0.10356596112251282
Iteration 910, Abs net weight: 0.10362285375595093
Iteration 911, Abs net weight: 0.10366785526275635
Iteration 912, Abs net weight: 0.10372352600097656
Iteration 913, Abs net weight: 0.10378091782331467
Iteration 914, Abs net weight: 0.10386157780885696
Iteration 915, Abs net weight: 0.10392013937234879
Iteration 916, Abs net weight: 0.10398227721452713
Iteration 917, Abs net weight: 0.10405716300010681
Iteration 918, Abs net weight: 0.10412218421697617
Iteration 919, Abs net weight: 0.10418696701526642
Iteration 920, Abs net weight: 0.10426012426614761
Iteration 921, Abs net weight: 0.10432954877614975
Iteration 922, Abs net weight: 0.10438000410795212
Iteration 923, Abs net weight: 0.10443580150604248
Iteration 924, Abs net weight: 0.10449905693531036
Iteration 925, Abs net weight: 0.1045651063323021
Iteration 926, Abs net weight: 0.10464297980070114
Iteration 927, Abs net weight: 0.1046944186091423
Iteration 928, Abs net weight: 0.10475107282400131
Iteration 929, Abs net weight: 0.10481203347444534
Iteration 930, Abs net weight: 0.10487192869186401
Iteration 931, Abs net weight: 0.10494048148393631
Iteration 932, Abs net weight: 0.10501160472631454
Iteration 933, Abs net weight: 0.10508787631988525
Iteration 934, Abs net weight: 0.10514511913061142
Iteration 935, Abs net weight: 0.1051965057849884
Iteration 936, Abs net weight: 0.10529140383005142
Iteration 937, Abs net weight: 0.10536031424999237
Iteration 938, Abs net weight: 0.10541117191314697
Iteration 939, Abs net weight: 0.105470672249794
Iteration 940, Abs net weight: 0.10555600374937057
Iteration 941, Abs net weight: 0.10571061074733734
Iteration 942, Abs net weight: 0.10581914335489273
Iteration 943, Abs net weight: 0.10588067770004272
Iteration 944, Abs net weight: 0.10596278309822083
Iteration 945, Abs net weight: 0.10604078322649002
Iteration 946, Abs net weight: 0.10610947757959366
Iteration 947, Abs net weight: 0.10617811232805252
Iteration 948, Abs net weight: 0.10626822710037231
Iteration 949, Abs net weight: 0.10634583979845047
Iteration 950, Abs net weight: 0.10640568286180496
Iteration 951, Abs net weight: 0.10645253956317902
Iteration 952, Abs net weight: 0.10652359575033188
Iteration 953, Abs net weight: 0.10661132633686066
Iteration 954, Abs net weight: 0.10668619722127914
Iteration 955, Abs net weight: 0.1067429855465889
Iteration 956, Abs net weight: 0.10682398825883865
Iteration 957, Abs net weight: 0.10689142346382141
Iteration 958, Abs net weight: 0.10695453733205795
Iteration 959, Abs net weight: 0.10702221095561981
Iteration 960, Abs net weight: 0.10708692669868469
Iteration 961, Abs net weight: 0.10719189047813416
Iteration 962, Abs net weight: 0.10728707164525986
Iteration 963, Abs net weight: 0.10735097527503967
Iteration 964, Abs net weight: 0.10741060227155685
Iteration 965, Abs net weight: 0.10747838765382767
Iteration 966, Abs net weight: 0.10756635665893555
Iteration 967, Abs net weight: 0.10766740888357162
Iteration 968, Abs net weight: 0.10772490501403809
Iteration 969, Abs net weight: 0.10780451446771622
Iteration 970, Abs net weight: 0.10789869725704193
Iteration 971, Abs net weight: 0.10794702917337418
Iteration 972, Abs net weight: 0.10801717638969421
Iteration 973, Abs net weight: 0.108089879155159
Iteration 974, Abs net weight: 0.10817743837833405
Iteration 975, Abs net weight: 0.1082480326294899
Iteration 976, Abs net weight: 0.1083211824297905
Iteration 977, Abs net weight: 0.10840021073818207
Iteration 978, Abs net weight: 0.10845194011926651
Iteration 979, Abs net weight: 0.10852167010307312
Iteration 980, Abs net weight: 0.10860536992549896
Iteration 981, Abs net weight: 0.10865892469882965
Iteration 982, Abs net weight: 0.1087251827120781
Iteration 983, Abs net weight: 0.10878211259841919
Iteration 984, Abs net weight: 0.10886111110448837
Iteration 985, Abs net weight: 0.10895073413848877
Iteration 986, Abs net weight: 0.10904742032289505
Iteration 987, Abs net weight: 0.10911566019058228
Iteration 988, Abs net weight: 0.10920080542564392
Iteration 989, Abs net weight: 0.10927071422338486
Iteration 990, Abs net weight: 0.10933118313550949
Iteration 991, Abs net weight: 0.1094091385602951
Iteration 992, Abs net weight: 0.10945595800876617
Iteration 993, Abs net weight: 0.10951452702283859
Iteration 994, Abs net weight: 0.10960305482149124
Iteration 995, Abs net weight: 0.10965190082788467
Iteration 996, Abs net weight: 0.10970699787139893
Iteration 997, Abs net weight: 0.10977371037006378
Iteration 998, Abs net weight: 0.10982561856508255
Iteration 999, Abs net weight: 0.1098809763789177
Iteration 1000, Abs net weight: 0.10995130985975266
Iteration 1001, Abs net weight: 0.11001746356487274
Iteration 1002, Abs net weight: 0.11008737236261368
Iteration 1003, Abs net weight: 0.1101556047797203
Iteration 1004, Abs net weight: 0.11020130664110184
Iteration 1005, Abs net weight: 0.11025240272283554
Iteration 1006, Abs net weight: 0.1102985069155693
Iteration 1007, Abs net weight: 0.11035414785146713
Iteration 1008, Abs net weight: 0.11040861904621124
Iteration 1009, Abs net weight: 0.11046896874904633
Iteration 1010, Abs net weight: 0.1105218157172203
Iteration 1011, Abs net weight: 0.11056765913963318
Iteration 1012, Abs net weight: 0.11064556241035461
Iteration 1013, Abs net weight: 0.11069964617490768
Iteration 1014, Abs net weight: 0.11076044291257858
Iteration 1015, Abs net weight: 0.11080733686685562
Iteration 1016, Abs net weight: 0.11087019741535187
Iteration 1017, Abs net weight: 0.1109374612569809
Iteration 1018, Abs net weight: 0.11098262667655945
Iteration 1019, Abs net weight: 0.11105246841907501
Iteration 1020, Abs net weight: 0.1111169382929802
Iteration 1021, Abs net weight: 0.11122538894414902
Iteration 1022, Abs net weight: 0.11128685623407364
Iteration 1023, Abs net weight: 0.11135350912809372
Iteration 1024, Abs net weight: 0.11142058670520782
Iteration 1025, Abs net weight: 0.11150936037302017
Iteration 1026, Abs net weight: 0.11156162619590759
Iteration 1027, Abs net weight: 0.11162428557872772
Iteration 1028, Abs net weight: 0.11166407912969589
Iteration 1029, Abs net weight: 0.1117333471775055
Iteration 1030, Abs net weight: 0.11182226240634918
Iteration 1031, Abs net weight: 0.11190947145223618
Iteration 1032, Abs net weight: 0.11198675632476807
Iteration 1033, Abs net weight: 0.11206274479627609
Iteration 1034, Abs net weight: 0.11211083084344864
Iteration 1035, Abs net weight: 0.11217770725488663
Iteration 1036, Abs net weight: 0.11225590109825134
Iteration 1037, Abs net weight: 0.1123080626130104
Iteration 1038, Abs net weight: 0.11239306628704071
Iteration 1039, Abs net weight: 0.11246587336063385
Iteration 1040, Abs net weight: 0.11252009123563766
Iteration 1041, Abs net weight: 0.11258195340633392
Iteration 1042, Abs net weight: 0.11265434324741364
Iteration 1043, Abs net weight: 0.11272576451301575
Iteration 1044, Abs net weight: 0.11279650032520294
Iteration 1045, Abs net weight: 0.11287654936313629
Iteration 1046, Abs net weight: 0.11293695867061615
Iteration 1047, Abs net weight: 0.11299675703048706
Iteration 1048, Abs net weight: 0.11307423561811447
Iteration 1049, Abs net weight: 0.11315283179283142
Iteration 1050, Abs net weight: 0.11322808265686035
Iteration 1051, Abs net weight: 0.11328905075788498
Iteration 1052, Abs net weight: 0.11335334181785583
Iteration 1053, Abs net weight: 0.11342769116163254
Iteration 1054, Abs net weight: 0.11349482089281082
Iteration 1055, Abs net weight: 0.1135612353682518
Iteration 1056, Abs net weight: 0.11362369358539581
Iteration 1057, Abs net weight: 0.11366298049688339
Iteration 1058, Abs net weight: 0.11370164901018143
Iteration 1059, Abs net weight: 0.11374801397323608
Iteration 1060, Abs net weight: 0.11379364132881165
Iteration 1061, Abs net weight: 0.11386264860630035
Iteration 1062, Abs net weight: 0.11394384503364563
Iteration 1063, Abs net weight: 0.11402560025453568
Iteration 1064, Abs net weight: 0.11406758427619934
Iteration 1065, Abs net weight: 0.11413566768169403
Iteration 1066, Abs net weight: 0.1142108365893364
Iteration 1067, Abs net weight: 0.11426197737455368
Iteration 1068, Abs net weight: 0.11433205753564835
Iteration 1069, Abs net weight: 0.11438131332397461
Iteration 1070, Abs net weight: 0.11443419009447098
Iteration 1071, Abs net weight: 0.11449280381202698
Iteration 1072, Abs net weight: 0.11453767865896225
Iteration 1073, Abs net weight: 0.11461206525564194
Iteration 1074, Abs net weight: 0.11467891186475754
Iteration 1075, Abs net weight: 0.11473548412322998
Iteration 1076, Abs net weight: 0.1148056611418724
Iteration 1077, Abs net weight: 0.11484966427087784
Iteration 1078, Abs net weight: 0.11490100622177124
Iteration 1079, Abs net weight: 0.1149633377790451
Iteration 1080, Abs net weight: 0.11503720283508301
Iteration 1081, Abs net weight: 0.11509682983160019
Iteration 1082, Abs net weight: 0.11517692357301712
Iteration 1083, Abs net weight: 0.11525542289018631
Iteration 1084, Abs net weight: 0.11532298475503922
Iteration 1085, Abs net weight: 0.11537090688943863
Iteration 1086, Abs net weight: 0.11540641635656357
Iteration 1087, Abs net weight: 0.11546477675437927
Iteration 1088, Abs net weight: 0.11552707105875015
Iteration 1089, Abs net weight: 0.11557860672473907
Iteration 1090, Abs net weight: 0.11562871187925339
Iteration 1091, Abs net weight: 0.11572256684303284
Iteration 1092, Abs net weight: 0.11580570787191391
Iteration 1093, Abs net weight: 0.11588697135448456
Iteration 1094, Abs net weight: 0.11596588045358658
Iteration 1095, Abs net weight: 0.11607208102941513
Iteration 1096, Abs net weight: 0.1161547303199768
Iteration 1097, Abs net weight: 0.11621423810720444
Iteration 1098, Abs net weight: 0.1162823811173439
Iteration 1099, Abs net weight: 0.1163448691368103
Iteration 1100, Abs net weight: 0.11643972247838974
Iteration 1101, Abs net weight: 0.11648371070623398
Iteration 1102, Abs net weight: 0.1165456771850586
Iteration 1103, Abs net weight: 0.11661390960216522
Iteration 1104, Abs net weight: 0.11669335514307022
Iteration 1105, Abs net weight: 0.11677528917789459
Iteration 1106, Abs net weight: 0.11686618626117706
Iteration 1107, Abs net weight: 0.11694397032260895
Iteration 1108, Abs net weight: 0.1170315071940422
Iteration 1109, Abs net weight: 0.11709567159414291
Iteration 1110, Abs net weight: 0.11716273427009583
Iteration 1111, Abs net weight: 0.11723806709051132
Iteration 1112, Abs net weight: 0.11732298880815506
Iteration 1113, Abs net weight: 0.11742796748876572
Iteration 1114, Abs net weight: 0.11753975600004196
Iteration 1115, Abs net weight: 0.11762785911560059
Iteration 1116, Abs net weight: 0.11770936101675034
Iteration 1117, Abs net weight: 0.11779782176017761
Iteration 1118, Abs net weight: 0.11788628995418549
Iteration 1119, Abs net weight: 0.11794442683458328
Iteration 1120, Abs net weight: 0.11804480850696564
Iteration 1121, Abs net weight: 0.1181030422449112
Iteration 1122, Abs net weight: 0.11816437542438507
Iteration 1123, Abs net weight: 0.11824601143598557
Iteration 1124, Abs net weight: 0.1182793453335762
Iteration 1125, Abs net weight: 0.1183142215013504
Iteration 1126, Abs net weight: 0.11839273571968079
Iteration 1127, Abs net weight: 0.11846273392438889
Iteration 1128, Abs net weight: 0.11850117892026901
Iteration 1129, Abs net weight: 0.11855123937129974
Iteration 1130, Abs net weight: 0.1186012476682663
Iteration 1131, Abs net weight: 0.11865232139825821
Iteration 1132, Abs net weight: 0.1187407374382019
Iteration 1133, Abs net weight: 0.1188107430934906
Iteration 1134, Abs net weight: 0.11887722462415695
Iteration 1135, Abs net weight: 0.11893031001091003
Iteration 1136, Abs net weight: 0.11897260695695877
Iteration 1137, Abs net weight: 0.1190333142876625
Iteration 1138, Abs net weight: 0.11909960955381393
Iteration 1139, Abs net weight: 0.11918015778064728
Iteration 1140, Abs net weight: 0.11922737956047058
Iteration 1141, Abs net weight: 0.11927346885204315
Iteration 1142, Abs net weight: 0.11932041496038437
Iteration 1143, Abs net weight: 0.11937899142503738
Iteration 1144, Abs net weight: 0.11943154036998749
Iteration 1145, Abs net weight: 0.11946205794811249
Iteration 1146, Abs net weight: 0.11952686309814453
Iteration 1147, Abs net weight: 0.1195698231458664
Iteration 1148, Abs net weight: 0.11963082104921341
Iteration 1149, Abs net weight: 0.1196923479437828
Iteration 1150, Abs net weight: 0.11972567439079285
Iteration 1151, Abs net weight: 0.11980152875185013
Iteration 1152, Abs net weight: 0.11987617611885071
Iteration 1153, Abs net weight: 0.11993053555488586
Iteration 1154, Abs net weight: 0.12000791728496552
Iteration 1155, Abs net weight: 0.12007265537977219
Iteration 1156, Abs net weight: 0.12014517188072205
Iteration 1157, Abs net weight: 0.12020595371723175
Iteration 1158, Abs net weight: 0.12026730924844742
